TABLE NO.  2
 ID             ,SID            ,KA             ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  4.60000000E+01, 1.00000000E+00, 7.91985782E-01, 5.17742183E-03, 3.13535866E-02,-7.53926378E-03,-8.44206690E-02,-1.03740644E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.70000000E+01, 1.00000000E+00, 7.62956659E-01, 5.43946837E-03, 3.25139506E-02,-4.48814778E-02,-3.50465552E-02,-6.74000614E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.80000000E+01, 1.00000000E+00, 8.00044268E-01, 6.42546127E-03, 3.51219994E-02, 2.58435749E-03, 1.31540536E-01, 9.75838869E-03,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.90000000E+01, 1.00000000E+00, 8.33679213E-01, 4.93260592E-03, 3.23102715E-02, 4.37659877E-02,-1.32860454E-01,-7.36841272E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  5.00000000E+01, 1.00000000E+00, 7.93800367E-01, 5.93735767E-03, 3.14633011E-02,-5.25070152E-03, 5.25363119E-02,-1.00247488E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  5.10000000E+01, 2.00000000E+00, 1.10652730E+00, 5.40031439E-03, 4.55070275E-02,-5.08674855E-02, 4.75301552E-02,-7.90106973E-02,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.20000000E+01, 2.00000000E+00, 1.17999950E+00, 4.78719982E-03, 6.26573059E-02, 1.34199716E-02,-7.29813652E-02, 2.40802828E-01,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.30000000E+01, 2.00000000E+00, 1.36461500E+00, 4.20291881E-03, 5.12460952E-02, 1.58778294E-01,-2.03147780E-01, 3.97619624E-02,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.40000000E+01, 2.00000000E+00, 1.15692396E+00, 5.67821177E-03, 4.32670183E-02,-6.32932044E-03, 9.77093362E-02,-1.29486820E-01,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.50000000E+01, 2.00000000E+00, 1.13008098E+00, 5.51770784E-03, 4.76402257E-02,-2.98047486E-02, 6.90355101E-02,-3.31999787E-02,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.60000000E+01, 2.00000000E+00, 1.15063375E+00, 5.08052889E-03, 4.06496741E-02,-1.17811650E-02,-1.35116495E-02,-1.91886643E-01,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.70000000E+01, 2.00000000E+00, 1.29905560E+00, 5.26764019E-03, 5.02287324E-02, 1.09543499E-01, 2.26554636E-02, 1.97097602E-02,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.80000000E+01, 2.00000000E+00, 1.16785149E+00, 5.68462683E-03, 5.05487246E-02, 3.07168400E-03, 9.88384663E-02, 2.60602533E-02,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  5.90000000E+01, 2.00000000E+00, 1.12883777E+00, 5.29471709E-03, 4.88111520E-02,-3.09054578E-02, 2.77825307E-02,-8.91864919E-03,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  6.00000000E+01, 2.00000000E+00, 1.17226535E+00, 5.18236359E-03, 5.50769410E-02, 6.84402909E-03, 6.33422653E-03, 1.11853674E-01,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  6.10000000E+01, 2.00000000E+00, 1.18438696E+00, 5.23798461E-03, 5.36149203E-02, 1.71312657E-02, 1.70097909E-02, 8.49499312E-02,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  6.20000000E+01, 2.00000000E+00, 1.15108318E+00, 5.25875604E-03, 4.05604426E-02,-1.13906429E-02, 2.09674868E-02,-1.94084189E-01,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
  6.30000000E+01, 2.00000000E+00, 1.06363015E+00, 4.60324768E-03, 4.42295541E-02,-9.04063182E-02,-1.12164946E-01,-1.07484252E-01,-2.77984724E-02, 4.40702899E-02, 7.12165103E-02
